,flow cell,signal,deltah,appv,mean flow,power,current
0,R,1.0,0.0,-0.5,-7.325154467241474,5.315724297124269,-10.955958694505133
1,R,1.0,0.0,0.0,-0.15514130028087628,4.841728805161804e-05,0.07635481938464311
2,R,1.0,0.0,0.5,7.745266327595935,5.301072848930123,10.841862137452114
3,R,1.0,0.1,-0.5,8.906819760839637,5.228178479732603,-10.892307161762558
4,R,1.0,0.1,0.0,16.02694469585129,1.3765270219058258e-05,0.12401466175147528
5,R,1.0,0.1,0.5,21.41367155427294,5.162802873009134,10.739830808894318
6,R,1.0,0.2,-0.5,14.219608129497448,5.665853860447558,-11.554566134409576
7,R,1.0,0.2,0.0,19.50486187291415,0.0001448651521737991,0.18235263931399567
8,R,1.0,0.2,0.5,24.81897207977364,5.532457993397468,11.28599830469482
9,R,1.0,0.45,-0.5,24.705200106828507,5.878564627602034,-12.16498111341201
10,R,1.0,0.45,0.0,29.938996543730234,0.00017948592917808173,0.19665084315610543
11,R,1.0,0.45,0.5,35.594513545460345,5.754747017692896,11.88405408008468
12,R,2.0,0.0,-0.25,-3.3344189952896968,1.3497074665857005,-5.469526517534594
13,R,2.0,0.0,0.0,-0.29833840819824825,0.00014432288271641315,0.18116855165059798
14,R,2.0,0.0,0.25,2.7039022880784973,1.3485204689527768,5.391800502788949
15,R,2.0,0.1,-0.25,2.440274688308329,1.391987538953045,-5.75293462807616
16,R,2.0,0.1,0.0,5.733643691465119,0.0001424586729295361,0.1813958261649935
17,R,2.0,0.1,0.25,8.658658132317836,1.3816953063872184,5.639075816594259
18,R,2.0,0.2,-0.25,7.355583094313893,1.4108912913849985,-5.735372963112978
19,R,2.0,0.2,0.0,10.194989432741234,8.340049256674352e-05,0.1644889880485373
20,R,2.0,0.2,0.25,12.761895623151993,1.4029164430924026,5.618107903443212
21,R,2.0,0.45,-0.25,15.773243801717383,1.3811356302342779,-5.651164197825251
22,R,2.0,0.45,0.0,18.197031385663443,0.00017026030414823507,0.18566821033753925
23,R,2.0,0.45,0.25,20.33565777845804,1.377295175941497,5.551676185609353
24,R,3.0,0.0,-0.5,-6.312192745194078,7.420016178646505,-15.244680116482353
25,R,3.0,0.0,0.0,0.13855987908790487,0.00039304500423357694,0.7776329354374512
26,R,3.0,0.0,0.5,6.716757922049808,7.3308936152777235,14.952620785505776
27,R,3.0,0.1,-0.5,-1.933135622756433,7.42215551688374,-15.110266973720815
28,R,3.0,0.1,0.0,5.102232711939201,0.0007608523037378011,0.8152487510603618
29,R,3.0,0.1,0.5,11.552022730292663,7.3699126992456,14.998732259204244
30,R,3.0,0.2,-0.5,2.660490215337036,7.405604506472573,-15.02145022343264
31,R,3.0,0.2,0.0,9.261460218710612,0.0006268341730701112,0.7753200091638791
32,R,3.0,0.2,0.5,15.594071205825157,7.3189477389286575,14.869375251186364
33,R,3.0,0.45,-0.5,12.02892251243311,7.572846816313554,-15.710155343137355
34,R,3.0,0.45,0.0,17.39543683539026,0.0006003294066447019,0.8042240536217279
35,R,3.0,0.45,0.5,24.027020672144197,7.43849650827716,15.40548735202268
36,K,1.0,0.0,-0.5,-3.2876126064135707,5.520632904409764,-11.426404754060663
37,K,1.0,0.0,0.0,-0.11483464230374378,0.0,0.1099154800669992
38,K,1.0,0.0,0.5,4.515407889971333,5.546403219614106,11.456630630234288
39,K,1.0,0.1,-0.5,13.13117532053158,5.374510856394946,-11.144124752046235
40,K,1.0,0.1,0.0,19.490398210714243,0.0,0.149659012069154
41,K,1.0,0.1,0.5,25.227533110780207,5.355727313222388,11.104418334489683
42,K,1.0,0.2,-0.5,22.350375161253986,6.14762053846561,-12.575601424660345
43,K,1.0,0.2,0.0,27.72954531786443,0.0,0.14817105461302862
44,K,1.0,0.2,0.5,33.357140024445926,6.090917233933184,12.435952850486546
45,K,1.0,0.45,-0.5,39.94517515813125,6.374605780090104,-13.135213364528102
46,K,1.0,0.45,0.0,44.173151062513725,0.0,0.19266914434313184
47,K,1.0,0.45,0.5,50.58856735261319,6.312769886894048,13.02232374356553
48,K,2.0,0.0,-0.25,-2.0224877851861316,1.7644114541077396,-7.197327368628193
49,K,2.0,0.0,0.0,0.023874861265571975,0.0,0.08330489914806434
50,K,2.0,0.0,0.25,2.3803348746950403,1.7618543490415985,7.166930162003563
51,K,2.0,0.1,-0.25,3.3999932761956093,1.7176030469950514,-7.154395366328471
52,K,2.0,0.1,0.0,6.214128622339031,0.0,0.08439544011907273
53,K,2.0,0.1,0.25,9.550461352750625,1.7195636929705025,7.140801308879334
54,K,2.0,0.2,-0.25,9.729955891572834,1.763132572645489,-7.185355205733906
55,K,2.0,0.2,0.0,12.494685918707797,0.0,0.06904059813406885
56,K,2.0,0.2,0.25,15.713653587358374,1.7639340700154458,7.143587274546842
57,K,2.0,0.45,-0.25,21.65538886597972,1.7736839272318434,-7.311694024942752
58,K,2.0,0.45,0.0,24.434677571129534,0.0,0.08373810195174643
59,K,2.0,0.45,0.25,27.55908715878881,1.762425608226359,7.258257654689099
60,K,3.0,0.0,-0.5,-2.279981681688585,9.90523592477349,-20.373614358211235
61,K,3.0,0.0,0.0,0.030876209639063748,0.0,0.6304130435020724
62,K,3.0,0.0,0.5,4.5822334196245835,9.86100000771154,20.306828019111144
63,K,3.0,0.1,-0.5,0.3237282392310757,9.894220503445249,-20.23218475661254
64,K,3.0,0.1,0.0,4.673472610192829,0.0,0.6154380387579782
65,K,3.0,0.1,0.5,11.9517585204376,9.977760272872267,20.333261063615364
66,K,3.0,0.2,-0.5,4.397045206364593,9.846497324330306,-20.147399621109354
67,K,3.0,0.2,0.0,10.625067902463543,0.0,0.6129857341910475
68,K,3.0,0.2,0.5,18.331846576005635,9.810310735474014,20.04700120901349
69,K,3.0,0.45,-0.5,16.428536732804034,9.766200066288492,-20.33488142347429
70,K,3.0,0.45,0.0,21.95866701668704,0.0,0.609418403277248
71,K,3.0,0.45,0.5,30.875340175390708,9.63722609418585,20.035380993955588
